shortname,question_title,type,page,place
job.team,"<strong>Most of the time, do you ...? </strong>",RADIO,16,1
is.python.main,<strong>Is Python the main language you use for your current projects?</strong>,RADIO,2,2
python.version.most,<strong>Which version of Python do you use the most?</strong>,RADIO,6,1
how.often.use.main.ide,"<strong>How often do you use [question('value'), id='298']?</strong>",RADIO,12,2
missing.features.main.ide,"<strong>Are you missing any features in [question('value'), id='298']?</strong>",RADIO,12,3
nps.main.ide,"<p dir=""ltr""><strong>How likely is it that you would recommend [question('value'), id='298'] to a friend or colleague?</strong></p>",NPS,12,4
other.lang,<strong>What other language(s) do you use?</strong>,CHECKBOX,2,3
first.learn.about.main.ide,"<strong>How did you first learn about [question('value'), id='298']?</strong>",RADIO,12,1
several.projects,<strong>Do you regularly work on multiple projects at the same time?</strong>,RADIO,11,2
age,<strong>Could you tell us your age range?</strong>,RADIO,18,1
employment.status,<strong>What is your employment status?</strong>,RADIO,16,3
years.of.coding,<strong>How many years of professional coding experience do you have?</strong>,RADIO,3,2
team.size,<strong>How many people are in your project team?</strong>,RADIO,16,2
other.purposes,<strong> What do you use Python for?</strong>,CHECKBOX,3,4
cloud.platform,<strong>Which of the following cloud platforms do you use?</strong>,CHECKBOX,8,1
python.version.upgrade,<strong>What do you typically use to upgrade your Python version?</strong>,CHECKBOX,6,4
are.you.datascientist,<strong>Do you consider yourself as a Data-Scientist?</strong>,RADIO,5,3
python2.version.most,<strong>Which version of Python 2 do you use the most?</strong>,RADIO,6,2
python3.version.most,<strong>Which version of Python 3 do you use the most?</strong>,RADIO,6,3
web.frameworks,<strong>What web frameworks / libraries do you use in addition to Python?</strong>,CHECKBOX,7,1
data.frameworks,<strong>What data </strong><strong>science framework(s) do you use in addition to Python?</strong>,CHECKBOX,7,2
other.frameworks,<strong>Which of the following frameworks / libraries do you use in addition to Python?</strong>,CHECKBOX,7,3
run.in.cloud,"<strong>How do you run code in the cloud </strong><b id=""docs-internal-guid-f0eca39b-7fff-14e8-282c-f7493818ff29"">(in the production environment)</b><strong>?</strong>",CHECKBOX,8,2
develop.for.cloud,<strong>How do you develop for the cloud?</strong>,CHECKBOX,8,3
devenv.os,<strong>What operating system(s) are your development environment?</strong>,CHECKBOX,8,4
unittesting,"<strong>Which Python unit-testing framework(s) do you use, if any?</strong>",CHECKBOX,8,5
main.purposes,<span><strong>For what purposes do you mainly use Python?</strong></span>,RADIO,3,3
company.size,<strong>How many people work for your </strong><strong>company / organization</strong><strong>?</strong>,RADIO,16,4
bigdata,"<strong>Which of the following Big Data tool(s) do you use, if any? </strong>",CHECKBOX,9,3
ci,<strong>Which Continuous Integration (CI) system(s) do you regularly use?</strong>,CHECKBOX,9,4
configuration.management,"<strong>Which configuration management tools do you use, if any?</strong>",CHECKBOX,9,5
isolate.environments,"<strong>Do you use any of the following tools to isolate Python environments, if any?</strong>",CHECKBOX,6,5
database,"<strong>Which database(s) do you regularly </strong><strong>use,</strong><strong> if any?</strong>",CHECKBOX,9,2
orm,"<strong>What ORM(s) do you use together with Python, if any?</strong>",CHECKBOX,9,1
use.python.most,<strong>What do you use Python for the most?</strong>,RADIO,5,1
